[2016-12-02 16:29:13.150] [TRACE] 微博 - DealWith instantiation ...
[2016-12-02 16:29:13.158] [TRACE] 微博 - spiderCore instantiation ...
[2016-12-02 16:29:13.161] [TRACE] 微博 - 启动函数
[2016-12-02 16:29:13.201] [DEBUG] 微博 - 缓存队列数据库连接建立...成功
[2016-12-02 16:29:13.203] [DEBUG] 微博 - 任务信息数据库连接建立...成功
[2016-12-02 16:29:13.205] [DEBUG] 微博 - 创建数据库连接完毕
[2016-12-02 16:29:13.206] [INFO] 微博 - { id: '5305147245', name: '365美食家常菜谱', p: '26' }
[2016-12-02 16:29:14.755] [DEBUG] 微博 - 今日头条 2140227493 加入缓存队列
[2016-12-02 16:29:15.495] [DEBUG] 微博 - 今日头条 3779904962 加入缓存队列
[2016-12-02 16:29:16.389] [DEBUG] 微博 - 今日头条 1268518877 加入缓存队列
[2016-12-02 16:29:17.877] [DEBUG] 微博 - 今日头条 3463207204 加入缓存队列
[2016-12-02 16:29:18.304] [DEBUG] 微博 - 今日头条 3779904962 加入缓存队列
[2016-12-02 16:29:19.435] [DEBUG] 微博 - 今日头条 5101863971 加入缓存队列
[2016-12-02 16:29:21.453] [DEBUG] 微博 - 今日头条 3099016097 加入缓存队列
[2016-12-02 16:29:21.933] [DEBUG] 微博 - 今日头条 3266142652 加入缓存队列
[2016-12-02 16:29:24.450] [DEBUG] 微博 - 今日头条 3463207204 加入缓存队列
[2016-12-02 16:29:25.366] [DEBUG] 微博 - 今日头条 2670125917 加入缓存队列
[2016-12-02 16:29:27.078] [DEBUG] 微博 - 今日头条 5101863971 加入缓存队列
[2016-12-02 16:29:27.588] [DEBUG] 微博 - 今日头条 1008169975 加入缓存队列
[2016-12-02 16:29:28.216] [DEBUG] 微博 - 今日头条 2697416452 加入缓存队列
[2016-12-02 16:29:29.265] [DEBUG] 微博 - 今日头条 undefined 加入缓存队列
[2016-12-02 16:29:31.008] [DEBUG] 微博 - 今日头条 2140227493 加入缓存队列
[2016-12-02 16:29:31.557] [DEBUG] 微博 - 今日头条 1231317854 加入缓存队列
[2016-12-02 16:29:31.907] [DEBUG] 微博 - 今日头条 5541345550 加入缓存队列
[2016-12-02 16:29:32.180] [DEBUG] 微博 - 今日头条 1644395354 加入缓存队列
[2016-12-02 16:29:32.641] [DEBUG] 微博 - 今日头条 5729126469 加入缓存队列
[2016-12-02 16:29:32.752] [DEBUG] 微博 - 今日头条 2140227493 加入缓存队列
