[2017-01-05 16:19:25.319] [TRACE] 风行网 - DealWith instantiation ...
[2017-01-05 16:19:25.365] [TRACE] 风行网 - spiderCore instantiation ...
[2017-01-05 16:19:25.367] [TRACE] 风行网 - 启动函数
[2017-01-05 16:19:25.395] [DEBUG] 风行网 - 任务信息数据库连接建立...成功
[2017-01-05 16:19:25.398] [DEBUG] 风行网 - 缓存队列数据库连接建立...成功
[2017-01-05 16:19:25.400] [DEBUG] 风行网 - 创建数据库连接完毕
[2017-01-05 16:19:26.868] [DEBUG] 风行网 - 风行 872327 加入缓存队列
[2017-01-05 16:19:28.402] [DEBUG] 风行网 - 风行 872329 加入缓存队列
[2017-01-05 16:19:29.102] [DEBUG] 风行网 - 风行 872099 加入缓存队列
[2017-01-05 16:19:29.544] [DEBUG] 风行网 - 风行 871707 加入缓存队列
[2017-01-05 16:19:30.784] [DEBUG] 风行网 - 风行 871581 加入缓存队列
[2017-01-05 16:19:31.646] [DEBUG] 风行网 - 风行 871015 加入缓存队列
[2017-01-05 16:19:32.261] [DEBUG] 风行网 - 风行 870529 加入缓存队列
[2017-01-05 16:19:32.818] [DEBUG] 风行网 - 风行 870523 加入缓存队列
[2017-01-05 16:19:33.551] [DEBUG] 风行网 - 风行 870265 加入缓存队列
[2017-01-05 16:19:34.109] [DEBUG] 风行网 - 风行 870255 加入缓存队列
[2017-01-05 16:19:36.066] [DEBUG] 风行网 - 风行 869859 加入缓存队列
[2017-01-05 16:19:36.870] [DEBUG] 风行网 - 风行 869683 加入缓存队列
[2017-01-05 16:19:37.846] [DEBUG] 风行网 - 风行 869359 加入缓存队列
[2017-01-05 16:19:38.670] [DEBUG] 风行网 - 风行 868867 加入缓存队列
[2017-01-05 16:19:39.402] [DEBUG] 风行网 - 风行 868865 加入缓存队列
[2017-01-05 16:19:40.304] [DEBUG] 风行网 - 风行 868641 加入缓存队列
[2017-01-05 16:19:41.457] [DEBUG] 风行网 - 风行 867977 加入缓存队列
[2017-01-05 16:19:43.473] [DEBUG] 风行网 - 风行 867975 加入缓存队列
[2017-01-05 16:19:44.765] [DEBUG] 风行网 - 风行 867785 加入缓存队列
[2017-01-05 16:19:46.662] [DEBUG] 风行网 - 风行 867249 加入缓存队列
[2017-01-05 16:19:50.001] [DEBUG] 风行网 - 风行 866679 加入缓存队列
[2017-01-05 16:19:50.826] [DEBUG] 风行网 - 风行 866245 加入缓存队列
[2017-01-05 16:19:52.469] [DEBUG] 风行网 - 风行 865607 加入缓存队列
[2017-01-05 16:19:53.415] [DEBUG] 风行网 - 风行 865603 加入缓存队列
[2017-01-05 16:19:54.188] [DEBUG] 风行网 - 风行 866241 加入缓存队列
[2017-01-05 16:19:54.813] [DEBUG] 风行网 - 风行 864589 加入缓存队列
[2017-01-05 16:19:56.080] [DEBUG] 风行网 - 风行 864075 加入缓存队列
[2017-01-05 16:19:56.992] [DEBUG] 风行网 - 风行 863199 加入缓存队列
[2017-01-05 16:19:58.999] [DEBUG] 风行网 - 风行 863201 加入缓存队列
[2017-01-05 16:19:59.615] [DEBUG] 风行网 - 风行 862699 加入缓存队列
[2017-01-05 16:20:01.968] [DEBUG] 风行网 - 风行 862607 加入缓存队列
[2017-01-05 16:20:02.774] [DEBUG] 风行网 - 风行 861289 加入缓存队列
[2017-01-05 16:20:03.939] [DEBUG] 风行网 - 风行 861371 加入缓存队列
[2017-01-05 16:20:04.609] [DEBUG] 风行网 - 风行 861465 加入缓存队列
[2017-01-05 16:20:06.201] [DEBUG] 风行网 - 风行 861369 加入缓存队列
