[2016-11-29 15:04:02.761] [TRACE] 乐视 - DealWith instantiation ...
[2016-11-29 15:04:02.769] [TRACE] 乐视 - spiderCore instantiation ...
[2016-11-29 15:04:02.771] [TRACE] 乐视 - 启动函数
[2016-11-29 15:04:02.799] [DEBUG] 乐视 - 任务信息数据库连接建立...成功
[2016-11-29 15:04:02.799] [DEBUG] 乐视 - 缓存队列数据库连接建立...成功
[2016-11-29 15:04:02.799] [DEBUG] 乐视 - 创建数据库连接完毕
[2016-11-29 15:04:02.799] [INFO] 乐视 - { id: '31073813', p: '3', name: '起小点', type: '1', total: 0 }
[2016-11-29 15:04:02.832] [DEBUG] 乐视 - 开始获取视频总页数
[2016-11-29 15:04:03.075] [DEBUG] 乐视 - 开始获取第1页视频列表
[2016-11-29 15:04:03.236] [DEBUG] 乐视 - -----
[2016-11-29 15:04:03.776] [DEBUG] 乐视 - -----
[2016-11-29 15:04:03.779] [DEBUG] 乐视 - -----
[2016-11-29 15:04:03.959] [DEBUG] 乐视 - -----
[2016-11-29 15:04:04.150] [DEBUG] 乐视 - -----
[2016-11-29 15:04:04.335] [DEBUG] 乐视 - -----
[2016-11-29 15:04:05.106] [DEBUG] 乐视 - -----
[2016-11-29 15:04:05.705] [DEBUG] 乐视 - -----
[2016-11-29 15:04:05.979] [DEBUG] 乐视 - -----
[2016-11-29 15:04:10.680] [DEBUG] 乐视 - -----
[2016-11-29 15:04:10.928] [DEBUG] 乐视 - -----
[2016-11-29 15:04:11.126] [DEBUG] 乐视 - -----
[2016-11-29 15:04:11.319] [DEBUG] 乐视 - -----
[2016-11-29 15:04:11.512] [DEBUG] 乐视 - -----
[2016-11-29 15:04:41.642] [DEBUG] 乐视 - -----
[2016-11-29 15:04:41.866] [DEBUG] 乐视 - -----
[2016-11-29 15:04:42.045] [DEBUG] 乐视 - -----
[2016-11-29 15:04:42.287] [DEBUG] 乐视 - -----
[2016-11-29 15:04:42.492] [DEBUG] 乐视 - -----
[2016-11-29 15:04:42.678] [DEBUG] 乐视 - -----
[2016-11-29 15:04:43.093] [DEBUG] 乐视 - -----
[2016-11-29 15:04:43.729] [DEBUG] 乐视 - -----
[2016-11-29 15:05:03.882] [DEBUG] 乐视 - -----
[2016-11-29 15:05:04.198] [DEBUG] 乐视 - -----
[2016-11-29 15:05:04.382] [DEBUG] 乐视 - -----
[2016-11-29 15:05:04.547] [DEBUG] 乐视 - -----
[2016-11-29 15:05:10.061] [DEBUG] 乐视 - -----
[2016-11-29 15:05:10.283] [DEBUG] 乐视 - -----
[2016-11-29 15:05:10.475] [DEBUG] 乐视 - -----
[2016-11-29 15:05:10.945] [DEBUG] 乐视 - -----
[2016-11-29 15:05:11.138] [DEBUG] 乐视 - -----
[2016-11-29 15:05:11.460] [DEBUG] 乐视 - -----
[2016-11-29 15:05:11.685] [DEBUG] 乐视 - -----
[2016-11-29 15:05:11.929] [DEBUG] 乐视 - -----
[2016-11-29 15:05:12.167] [DEBUG] 乐视 - -----
[2016-11-29 15:05:12.592] [DEBUG] 乐视 - -----
[2016-11-29 15:05:12.607] [DEBUG] 乐视 - -----
[2016-11-29 15:05:13.030] [DEBUG] 乐视 - -----
[2016-11-29 15:05:13.475] [DEBUG] 乐视 - -----
[2016-11-29 15:05:13.714] [DEBUG] 乐视 - -----
[2016-11-29 15:05:13.727] [DEBUG] 乐视 - -----
[2016-11-29 15:05:14.107] [DEBUG] 乐视 - -----
[2016-11-29 15:05:14.549] [DEBUG] 乐视 - -----
[2016-11-29 15:05:14.763] [DEBUG] 乐视 - -----
[2016-11-29 15:05:14.929] [DEBUG] 乐视 - -----
[2016-11-29 15:05:15.061] [DEBUG] 乐视 - 开始获取第2页视频列表
[2016-11-29 15:05:15.182] [DEBUG] 乐视 - -----
[2016-11-29 15:05:15.342] [DEBUG] 乐视 - -----
[2016-11-29 15:05:15.357] [DEBUG] 乐视 - -----
[2016-11-29 15:05:15.659] [DEBUG] 乐视 - -----
[2016-11-29 15:05:15.788] [DEBUG] 乐视 - -----
[2016-11-29 15:05:16.188] [DEBUG] 乐视 - -----
[2016-11-29 15:05:16.220] [DEBUG] 乐视 - -----
[2016-11-29 15:05:16.367] [DEBUG] 乐视 - -----
[2016-11-29 15:05:16.607] [DEBUG] 乐视 - -----
[2016-11-29 15:05:16.688] [DEBUG] 乐视 - -----
[2016-11-29 15:05:16.866] [DEBUG] 乐视 - -----
[2016-11-29 15:05:17.045] [DEBUG] 乐视 - -----
[2016-11-29 15:05:17.174] [DEBUG] 乐视 - -----
[2016-11-29 15:05:17.428] [DEBUG] 乐视 - -----
[2016-11-29 15:05:18.153] [DEBUG] 乐视 - -----
[2016-11-29 15:05:18.158] [DEBUG] 乐视 - -----
[2016-11-29 15:05:18.531] [DEBUG] 乐视 - -----
[2016-11-29 15:05:18.714] [DEBUG] 乐视 - -----
[2016-11-29 15:05:18.897] [DEBUG] 乐视 - -----
[2016-11-29 15:05:19.198] [DEBUG] 乐视 - -----
[2016-11-29 15:05:19.382] [DEBUG] 乐视 - -----
[2016-11-29 15:05:19.626] [DEBUG] 乐视 - -----
[2016-11-29 15:05:19.866] [DEBUG] 乐视 - -----
[2016-11-29 15:05:19.882] [DEBUG] 乐视 - -----
[2016-11-29 15:05:20.138] [DEBUG] 乐视 - -----
[2016-11-29 15:05:20.428] [DEBUG] 乐视 - -----
[2016-11-29 15:05:20.626] [DEBUG] 乐视 - -----
[2016-11-29 15:05:20.851] [DEBUG] 乐视 - -----
[2016-11-29 15:05:21.382] [DEBUG] 乐视 - -----
[2016-11-29 15:05:21.732] [DEBUG] 乐视 - -----
