[2016-11-26 23:41:34.906] [TRACE] 今日头条 - DealWith instantiation ...
[2016-11-26 23:41:34.913] [TRACE] 今日头条 - spiderCore instantiation ...
[2016-11-26 23:41:34.915] [TRACE] 今日头条 - 启动函数
[2016-11-26 23:41:34.943] [DEBUG] 今日头条 - 任务信息数据库连接建立...成功
[2016-11-26 23:41:34.946] [DEBUG] 今日头条 - 缓存队列数据库连接建立...成功
[2016-11-26 23:41:34.948] [DEBUG] 今日头条 - 创建数据库连接完毕
[2016-11-26 23:41:34.950] [INFO] 今日头条 - { p: '6', id: '6518345701', name: '共赏雅俗' }
[2016-11-26 23:41:35.200] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:35.424] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:35.628] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:35.840] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:36.085] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:36.306] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:36.547] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:36.741] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:36.967] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:37.182] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:37.516] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:37.747] [DEBUG] 今日头条 - -----
[2016-11-26 23:41:37.977] [DEBUG] 今日头条 - -----
