[2016-12-05 13:53:58.189] [TRACE] uc头条 - DealWith instantiation ...
[2016-12-05 13:53:58.189] [TRACE] uc头条 - spiderCore instantiation ...
[2016-12-05 13:53:58.189] [TRACE] uc头条 - 启动函数
[2016-12-05 13:53:58.221] [DEBUG] uc头条 - 任务信息数据库连接建立...成功
[2016-12-05 13:53:58.221] [DEBUG] uc头条 - 缓存队列数据库连接建立...成功
[2016-12-05 13:53:58.236] [DEBUG] uc头条 - 创建数据库连接完毕
[2016-12-05 13:53:58.236] [INFO] uc头条 - { id: '41ad6b83918746c2ad1a4afbab13e1cd',
  name: '陈翔六点半',
  p: '23' }
[2016-12-05 13:53:58.550] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:58.653] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:58.763] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:58.867] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:58.961] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:59.164] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:59.258] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:59.372] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:59.480] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:59.576] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:59.794] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:53:59.930] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:03.151] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:03.249] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:03.930] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:04.129] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:04.216] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:04.360] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:04.716] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:04.810] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:05.014] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:05.139] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:05.248] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:05.341] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:05.457] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:05.638] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:05.747] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:05.841] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:05.945] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:06.045] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:06.263] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:06.367] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:06.468] [DEBUG] uc头条 - 20161204134
[2016-12-05 13:54:06.560] [DEBUG] uc头条 - 20161204134
