[2017-01-05 16:15:31.006] [TRACE] 第一视频 - DealWith instantiation ...
[2017-01-05 16:15:31.016] [TRACE] 第一视频 - spiderCore instantiation ...
[2017-01-05 16:15:31.018] [TRACE] 第一视频 - 启动函数
[2017-01-05 16:15:31.044] [DEBUG] 第一视频 - 任务信息数据库连接建立...成功
[2017-01-05 16:15:31.047] [DEBUG] 第一视频 - 缓存队列数据库连接建立...成功
[2017-01-05 16:15:31.048] [DEBUG] 第一视频 - 创建数据库连接完毕
[2017-01-05 16:15:32.810] [DEBUG] 第一视频 - 用户: 6046584 back_end
[2017-01-05 16:15:34.769] [DEBUG] 第一视频 - 第一视频 14462714 加入缓存队列
[2017-01-05 16:15:35.061] [DEBUG] 第一视频 - 第一视频 14463047 加入缓存队列
[2017-01-05 16:15:35.848] [DEBUG] 第一视频 - 第一视频 14462038 加入缓存队列
[2017-01-05 16:15:36.788] [DEBUG] 第一视频 - 第一视频 14462639 加入缓存队列
[2017-01-05 16:15:37.335] [DEBUG] 第一视频 - 第一视频 14462616 加入缓存队列
[2017-01-05 16:15:37.564] [DEBUG] 第一视频 - 第一视频 14462593 加入缓存队列
[2017-01-05 16:15:37.730] [DEBUG] 第一视频 - 第一视频 14462567 加入缓存队列
[2017-01-05 16:15:38.064] [DEBUG] 第一视频 - 第一视频 14461823 加入缓存队列
[2017-01-05 16:15:39.661] [DEBUG] 第一视频 - 第一视频 14462249 加入缓存队列
[2017-01-05 16:15:39.837] [DEBUG] 第一视频 - 第一视频 14462101 加入缓存队列
[2017-01-05 16:15:40.311] [DEBUG] 第一视频 - 第一视频 14462084 加入缓存队列
[2017-01-05 16:15:40.524] [DEBUG] 第一视频 - 第一视频 14462025 加入缓存队列
[2017-01-05 16:15:40.719] [DEBUG] 第一视频 - 第一视频 14462021 加入缓存队列
[2017-01-05 16:15:41.133] [DEBUG] 第一视频 - 第一视频 14461956 加入缓存队列
[2017-01-05 16:15:41.735] [DEBUG] 第一视频 - 第一视频 14461877 加入缓存队列
