[2017-01-06 14:57:55.176] [TRACE] 新蓝网 - DealWith instantiation ...
[2017-01-06 14:57:55.189] [TRACE] 新蓝网 - spiderCore instantiation ...
[2017-01-06 14:57:55.191] [TRACE] 新蓝网 - 启动函数
[2017-01-06 14:57:55.224] [DEBUG] 新蓝网 - 任务信息数据库连接建立...成功
[2017-01-06 14:57:55.227] [DEBUG] 新蓝网 - 缓存队列数据库连接建立...成功
[2017-01-06 14:57:55.230] [DEBUG] 新蓝网 - 创建数据库连接完毕
[2017-01-06 14:57:55.583] [DEBUG] 新蓝网 - 新蓝网 286423 加入缓存队列
[2017-01-06 14:57:55.703] [DEBUG] 新蓝网 - 新蓝网 286421 加入缓存队列
[2017-01-06 14:57:55.823] [DEBUG] 新蓝网 - 新蓝网 286420 加入缓存队列
[2017-01-06 14:57:55.955] [DEBUG] 新蓝网 - 新蓝网 286419 加入缓存队列
[2017-01-06 14:57:56.296] [DEBUG] 新蓝网 - 新蓝网 286418 加入缓存队列
[2017-01-06 14:57:56.416] [DEBUG] 新蓝网 - 新蓝网 286417 加入缓存队列
[2017-01-06 14:57:56.527] [DEBUG] 新蓝网 - 新蓝网 286416 加入缓存队列
[2017-01-06 14:57:56.666] [DEBUG] 新蓝网 - 新蓝网 286415 加入缓存队列
[2017-01-06 14:57:56.776] [DEBUG] 新蓝网 - 新蓝网 286414 加入缓存队列
[2017-01-06 14:57:56.894] [DEBUG] 新蓝网 - 新蓝网 286413 加入缓存队列
[2017-01-06 14:57:57.036] [DEBUG] 新蓝网 - 新蓝网 286412 加入缓存队列
[2017-01-06 14:57:57.168] [DEBUG] 新蓝网 - 新蓝网 286411 加入缓存队列
[2017-01-06 14:57:57.296] [DEBUG] 新蓝网 - 新蓝网 286410 加入缓存队列
[2017-01-06 14:57:57.415] [DEBUG] 新蓝网 - 新蓝网 286409 加入缓存队列
[2017-01-06 14:57:57.526] [DEBUG] 新蓝网 - 新蓝网 286408 加入缓存队列
[2017-01-06 14:57:57.649] [DEBUG] 新蓝网 - 新蓝网 286407 加入缓存队列
[2017-01-06 14:57:58.893] [DEBUG] 新蓝网 - 新蓝网 286406 加入缓存队列
[2017-01-06 14:57:59.035] [DEBUG] 新蓝网 - 新蓝网 280098 加入缓存队列
[2017-01-06 14:57:59.157] [DEBUG] 新蓝网 - 新蓝网 280097 加入缓存队列
[2017-01-06 14:57:59.537] [DEBUG] 新蓝网 - 新蓝网 280096 加入缓存队列
[2017-01-06 14:57:59.658] [DEBUG] 新蓝网 - 新蓝网 280095 加入缓存队列
[2017-01-06 14:57:59.785] [DEBUG] 新蓝网 - 新蓝网 280094 加入缓存队列
[2017-01-06 14:58:01.056] [DEBUG] 新蓝网 - 新蓝网 280093 加入缓存队列
[2017-01-06 14:58:01.199] [DEBUG] 新蓝网 - 新蓝网 279645 加入缓存队列
[2017-01-06 14:58:01.296] [DEBUG] 新蓝网 - 新蓝网 279644 加入缓存队列
[2017-01-06 14:58:01.421] [DEBUG] 新蓝网 - 新蓝网 279643 加入缓存队列
[2017-01-06 14:58:01.536] [DEBUG] 新蓝网 - 新蓝网 279642 加入缓存队列
[2017-01-06 14:58:01.680] [DEBUG] 新蓝网 - 新蓝网 279641 加入缓存队列
[2017-01-06 14:58:01.789] [DEBUG] 新蓝网 - 新蓝网 279640 加入缓存队列
[2017-01-06 14:58:01.925] [DEBUG] 新蓝网 - 新蓝网 279639 加入缓存队列
[2017-01-06 14:58:02.047] [DEBUG] 新蓝网 - 新蓝网 279638 加入缓存队列
[2017-01-06 14:58:02.183] [DEBUG] 新蓝网 - 新蓝网 279637 加入缓存队列
[2017-01-06 14:58:02.296] [DEBUG] 新蓝网 - 新蓝网 279636 加入缓存队列
[2017-01-06 14:58:02.423] [DEBUG] 新蓝网 - 新蓝网 279635 加入缓存队列
[2017-01-06 14:58:02.546] [DEBUG] 新蓝网 - 新蓝网 279634 加入缓存队列
[2017-01-06 14:58:03.632] [DEBUG] 新蓝网 - 新蓝网 279633 加入缓存队列
[2017-01-06 14:58:03.752] [DEBUG] 新蓝网 - 新蓝网 279632 加入缓存队列
[2017-01-06 14:58:03.884] [DEBUG] 新蓝网 - 新蓝网 279631 加入缓存队列
[2017-01-06 14:58:04.016] [DEBUG] 新蓝网 - 新蓝网 279630 加入缓存队列
[2017-01-06 14:58:04.129] [DEBUG] 新蓝网 - 新蓝网 279629 加入缓存队列
[2017-01-06 14:58:04.238] [DEBUG] 新蓝网 - 新蓝网 279628 加入缓存队列
[2017-01-06 14:58:04.345] [DEBUG] 新蓝网 - 新蓝网 276544 加入缓存队列
[2017-01-06 14:58:05.604] [DEBUG] 新蓝网 - 新蓝网 275530 加入缓存队列
[2017-01-06 14:58:05.717] [DEBUG] 新蓝网 - 新蓝网 275529 加入缓存队列
[2017-01-06 14:58:05.835] [DEBUG] 新蓝网 - 新蓝网 275528 加入缓存队列
[2017-01-06 14:58:05.947] [DEBUG] 新蓝网 - 新蓝网 275527 加入缓存队列
[2017-01-06 14:58:06.066] [DEBUG] 新蓝网 - 新蓝网 275526 加入缓存队列
[2017-01-06 14:58:06.190] [DEBUG] 新蓝网 - 新蓝网 275525 加入缓存队列
